distance,average,std
,154.07756170237704,716.3435215492646
,63.304351178786526,725.2980757971217
,44.959674055135274,1.4411518807585587e+17
,44.704268640998784,1595.4956497520134
,38.865340027584715,9.607679205057058e+16
,38.841236174987706,15744.515849134978
,38.37254234193819,24970.958355975654
,38.05760380675944,inf
,38.05760380675944,inf
,38.05760380675944,inf
,38.05760380675944,inf
,38.05760380675944,inf
,38.01027846531473,5676.09606374574
,36.68726092576674,1.4411518807585587e+17
,36.68726092576674,1.4411518807585587e+17
,36.68726092576674,1.4411518807585587e+17
,36.68726092576674,1.4411518807585587e+17
,36.68726092576674,1.4411518807585587e+17
,36.68726092576674,1.4411518807585587e+17
,36.68726092576674,1.4411518807585587e+17
,36.67374966744313,18491.656114180314
,36.28620650877654,1.4411518807585587e+17
,36.28620650877654,1.4411518807585587e+17
,36.28620650877654,1.4411518807585587e+17
,36.28620650877654,1.4411518807585587e+17
,36.28620650877654,1.4411518807585587e+17
,36.28620650877654,1.4411518807585587e+17
,36.28620650877654,1.4411518807585587e+17
,36.28620650877654,1.4411518807585587e+17
,36.28620650877654,1.4411518807585587e+17
